date,line,direction,hour,passengers
2024-03-01,Red,inbound,8,1240
2024-03-01,Red,outbound,8,980
2024-03-01,Blue,inbound,8,870
2024-03-01,Blue,outbound,8,760
2024-03-01,Red,inbound,9,1100
2024-03-01,Red,outbound,9,890
2024-03-01,Blue,inbound,9,810
2024-03-01,Blue,outbound,9,700
2024-03-02,Red,inbound,8,1310
2024-03-02,Red,outbound,8,1010
2024-03-02,Blue,inbound,8,900
2024-03-02,Blue,outbound,8,820
2024-03-02,Red,inbound,9,1150
2024-03-02,Red,outbound,9,920
2024-03-02,Blue,inbound,9,830
2024-03-02,Blue,outbound,9,740
